Order_ID,Order_Date,Customer_Key,Product_Key,Region_Key,Payment_Key,ShipMode_Key,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Shipping_Cost,Delivery_Days,Returned
77,2025-03-13,33,1,2,1,2,2,322,0.15,547.4,380.04,167.36,131,1,Yes
78,2025-01-19,54,17,1,3,2,5,2839,0.15,12065.75,6664.49,5401.26,166,9,No
79,2025-05-28,14,4,4,3,1,2,1387,0,2774,1641.34,1132.66,116,7,Yes
80,2025-09-10,44,5,3,4,1,3,3411,0,10233,5569.35,4663.65,187,4,Yes
81,2025-03-05,40,27,1,2,3,1,2238,0.05,2126.1,1284.03,842.07,161,1,No
82,2025-07-25,30,1,1,1,1,4,4674,0.15,15891.6,11448.27,4443.33,113,7,No
83,2025-12-16,76,16,3,2,2,4,3232,0.1,11635.2,8837.5,2797.7,109,1,No
84,2025-03-13,9,13,4,1,3,1,3113,0.05,2957.35,2107.25,850.1,63,10,Yes
85,2025-03-15,61,26,3,4,3,3,4668,0.15,11903.4,8062.4,3841.0,245,9,Yes
86,2025-03-07,15,2,3,2,1,2,1209,0.05,2297.1,1718.32,578.78,231,5,Yes
87,2025-08-03,85,19,2,1,2,2,4713,0.05,8954.7,6801.64,2153.06,199,8,Yes
88,2025-01-23,42,6,3,2,1,2,2760,0.15,4692.0,3501.41,1190.59,163,6,Yes
89,2025-09-15,86,4,1,1,2,5,2001,0.15,8504.25,6333.43,2170.82,167,7,No
90,2025-08-29,19,12,4,1,2,2,719,0,1438,829.12,608.88,102,9,Yes
91,2025-02-19,58,28,4,3,3,2,3092,0,6184,3279.63,2904.37,223,2,No
92,2025-09-29,30,18,3,4,1,1,2684,0,2684,1530.29,1153.71,177,1,No
93,2025-07-14,37,18,1,3,2,1,4572,0,4572,2904.65,1667.35,266,9,Yes
94,2025-08-24,11,16,3,4,1,3,2774,0.05,7905.9,4955.31,2950.59,265,9,Yes
95,2025-08-21,93,4,4,4,1,5,1765,0.1,7942.5,4965.15,2977.35,143,2,Yes
96,2025-07-02,13,24,1,4,3,3,4217,0,12651,7104.23,5546.77,64,9,Yes
97,2025-05-16,29,29,4,1,2,4,4995,0,19980,14832.96,5147.04,76,8,Yes
98,2025-08-06,56,5,2,4,2,5,3725,0.05,17693.75,9884.73,7809.02,103,4,Yes
99,2025-10-24,62,21,1,3,2,5,2396,0,11980,6109.86,5870.14,227,5,Yes
100,2025-06-25,13,14,1,3,1,1,729,0.1,656.1,362.51,293.59,231,6,No
101,2025-09-25,68,11,4,3,3,2,2005,0.05,3809.5,2426.61,1382.89,246,8,No
102,2025-08-27,54,16,1,1,3,2,4834,0.1,8701.2,6904.76,1796.44,253,9,Yes
103,2025-12-03,72,22,1,1,2,2,3360,0.15,5712.0,3861.13,1850.87,138,2,No
104,2025-02-14,60,14,2,2,1,5,4483,0.15,19052.75,11662.08,7390.67,197,8,No
105,2025-07-11,52,2,2,2,3,1,3738,0,3738,2457.13,1280.87,290,5,No
106,2025-10-24,62,2,3,3,1,5,2959,0.15,12575.75,8268.33,4307.42,223,6,Yes
107,2025-09-12,100,21,4,4,2,2,2189,0.05,4159.1,3218.29,940.81,157,6,Yes
108,2025-11-14,37,7,2,1,2,2,2940,0,5880,4695.82,1184.18,165,7,Yes
109,2025-07-25,17,12,1,2,2,3,2212,0.05,6304.2,4188.05,2116.15,194,10,Yes
110,2025-01-11,98,25,3,2,3,2,1201,0,2402,1569.12,832.88,130,2,No
111,2025-07-28,86,12,2,4,1,1,4622,0,4622,2515.52,2106.48,151,3,Yes
112,2025-08-05,95,6,1,2,1,5,2813,0.05,13361.75,9301.78,4059.97,51,6,No
113,2025-06-30,77,2,3,4,1,2,1368,0.05,2599.2,1644.56,954.64,268,3,Yes
114,2025-01-04,47,9,4,3,1,5,2707,0.15,11504.75,7808.47,3696.28,233,3,No
115,2025-04-13,88,2,2,4,3,5,3739,0.1,16825.5,8842.91,7982.59,275,3,Yes
116,2025-12-18,95,14,2,2,1,1,3867,0.1,3480.3,2459.78,1020.52,290,10,Yes
117,2025-09-09,71,21,1,2,2,2,775,0.1,1395.0,1063.21,331.79,269,9,No
118,2025-10-28,82,12,2,3,3,2,3924,0.1,7063.2,4438.92,2624.28,127,4,Yes
119,2025-10-06,16,3,3,1,1,5,2725,0.1,12262.5,9077.78,3184.72,229,2,Yes
120,2025-11-05,75,13,4,4,1,1,2358,0,2358,1541.12,816.88,60,5,Yes
121,2025-06-12,5,12,2,3,3,5,3545,0,17725,12894.12,4830.88,130,5,Yes
122,2025-04-29,81,28,4,3,3,5,997,0.05,4735.75,2625.41,2110.34,245,10,No
123,2025-06-22,56,5,1,3,1,5,4677,0.05,22215.75,15843.44,6372.31,157,5,No
124,2025-04-16,58,4,2,4,1,4,1978,0.15,6725.2,5213.76,1511.44,175,7,No
125,2025-06-24,30,17,1,4,1,3,1077,0.05,3069.45,1956.77,1112.68,235,5,No
126,2025-07-25,44,29,2,2,1,4,4238,0.1,15256.8,9979.79,5277.01,284,2,Yes
127,2025-12-31,96,25,2,3,3,3,353,0.05,1006.05,612.29,393.76,52,3,Yes
128,2025-08-09,22,19,4,1,1,2,3161,0,6322,3845.27,2476.73,217,9,No
129,2025-10-26,3,11,1,4,2,1,4278,0.05,4064.1,3183.67,880.43,264,3,No
130,2025-04-02,42,30,3,1,3,4,4921,0.05,18699.8,12526.11,6173.69,152,5,No
131,2025-07-07,91,11,1,4,1,4,449,0.15,1526.6,834.28,692.32,237,9,No
132,2025-02-14,71,29,4,2,1,3,3634,0,10902,5511.97,5390.03,104,8,Yes
133,2025-04-05,74,23,4,4,1,3,3061,0,9183,7319.85,1863.15,104,2,Yes
134,2025-07-31,59,21,1,3,2,5,4630,0.15,19677.5,15555.87,4121.63,253,6,No
135,2025-04-18,45,20,2,2,3,3,1982,0.15,5054.1,3822.0,1232.1,98,8,No
136,2025-06-19,83,30,2,1,1,3,298,0,894,684.5,209.5,205,2,No
137,2025-01-01,72,17,4,1,2,2,3658,0,7316,5815.74,1500.26,250,2,No
138,2025-10-29,58,24,3,2,3,5,665,0.05,3158.75,2339.59,819.16,256,1,Yes
139,2025-07-10,83,6,1,3,3,4,220,0,880,538.86,341.14,181,7,Yes
140,2025-09-21,17,22,1,3,3,2,2318,0.1,4172.4,2174.62,1997.78,171,3,Yes
141,2025-04-26,96,11,4,1,1,5,4947,0.1,22261.5,16731.71,5529.79,259,6,Yes
142,2025-08-16,75,15,2,3,3,5,3659,0,18295,13495.86,4799.14,111,8,No
143,2025-11-29,48,30,1,3,1,2,4677,0.05,8886.3,4597.65,4288.65,214,7,No
144,2025-05-22,90,7,4,1,1,2,2116,0.15,3597.2,2055.71,1541.49,147,10,Yes
145,2025-08-23,1,28,4,4,3,5,2985,0.05,14178.75,9642.49,4536.26,255,10,No
146,2025-03-12,44,25,4,2,3,4,1035,0.1,3726.0,2585.27,1140.73,300,2,No
147,2025-09-16,90,25,2,3,2,3,2373,0.05,6763.05,4844.02,1919.03,147,5,Yes
148,2025-08-23,79,17,4,1,2,5,4011,0,20055,13269.09,6785.91,96,6,Yes
149,2025-01-12,60,14,4,1,3,5,3175,0,15875,8229.19,7645.81,264,2,No
150,2025-01-08,16,9,2,1,1,2,602,0.1,1083.6,685.15,398.45,131,6,No
151,2025-06-06,49,24,1,4,2,4,1156,0,4624,2770.79,1853.21,73,7,Yes
152,2025-04-03,5,13,4,1,1,1,2274,0.15,1932.9,1269.32,663.58,137,3,Yes
153,2025-07-03,64,30,1,3,3,5,2605,0,13025,7794.14,5230.86,122,2,No
154,2025-06-28,69,25,4,3,3,2,3637,0,7274,3790.16,3483.84,251,7,Yes
155,2025-11-21,55,5,2,3,3,2,2957,0.15,5026.9,2883.35,2143.55,163,10,Yes
156,2025-10-30,24,3,3,2,3,4,4814,0.15,16367.6,11357.1,5010.5,131,3,No
157,2025-02-28,92,4,4,1,1,5,3566,0.1,16047.0,12698.48,3348.52,81,1,Yes
158,2025-01-03,3,20,2,2,3,5,1356,0.05,6441.0,3746.69,2694.31,146,2,Yes
159,2025-11-20,11,24,2,4,1,1,4148,0.05,3940.6,3010.29,930.31,240,10,No
160,2025-06-03,90,2,2,1,3,4,2082,0.1,7495.2,4515.66,2979.54,167,3,No
161,2025-06-06,50,9,1,2,1,2,759,0.1,1366.2,763.27,602.93,62,8,No
162,2025-03-13,68,8,1,4,2,2,2931,0.15,4982.7,2700.39,2282.31,120,5,No
163,2025-04-08,34,2,4,2,3,1,4964,0,4964,2818.12,2145.88,196,3,Yes
164,2025-11-27,88,5,3,2,2,4,3125,0.05,11875.0,6167.83,5707.17,163,9,No
165,2025-09-10,39,27,2,2,3,3,2690,0.15,6859.5,5177.71,1681.79,146,10,Yes
166,2025-11-12,36,11,2,1,3,4,2246,0.05,8534.8,6308.96,2225.84,165,8,Yes
167,2025-06-09,5,22,4,1,1,1,4430,0.05,4208.5,2208.1,2000.4,198,1,No
168,2025-05-30,44,26,1,3,2,1,4595,0.1,4135.5,2297.54,1837.96,270,1,No
169,2025-01-07,51,7,1,3,3,5,1411,0.05,6702.25,3845.09,2857.16,208,5,No
170,2025-01-14,54,11,2,3,1,1,2492,0,2492,1480.3,1011.7,105,2,Yes
171,2025-06-14,3,23,1,4,3,3,1211,0,3633,2797.7,835.3,87,1,Yes
172,2025-12-23,37,24,1,3,1,3,3856,0,11568,7414.52,4153.48,56,6,No
173,2025-05-08,61,10,1,4,3,5,4711,0.05,22377.25,13719.15,8658.1,127,6,No
174,2025-05-21,18,30,1,2,1,4,3847,0.05,14618.6,11347.83,3270.77,285,2,No
175,2025-10-28,78,18,1,2,3,3,4388,0.15,11189.4,7663.53,3525.87,233,1,Yes
176,2025-02-22,31,22,4,1,3,3,4077,0.05,11619.45,8066.85,3552.6,71,8,No
177,2025-06-24,81,9,1,2,2,5,4905,0,24525,13685.55,10839.45,61,9,Yes
178,2025-11-13,70,27,1,4,1,1,3679,0,3679,2378.96,1300.04,176,1,Yes
179,2025-07-05,70,8,1,3,1,1,3303,0.1,2972.7,1814.33,1158.37,79,10,No
180,2025-10-12,19,13,3,1,2,5,4817,0.1,21676.5,16245.14,5431.36,227,7,No
181,2025-10-11,42,11,4,1,3,5,2854,0.15,12129.5,8374.44,3755.06,141,2,Yes
182,2025-03-03,71,26,4,1,1,5,4468,0,22340,16701.08,5638.92,196,4,Yes
183,2025-03-10,99,26,1,4,1,2,4606,0.1,8290.8,6056.2,2234.6,71,9,Yes
184,2025-02-20,75,1,4,2,3,2,515,0.05,978.5,758.55,219.95,74,2,No
185,2025-03-18,84,13,2,3,1,4,263,0.15,894.2,677.22,216.98,137,8,Yes
186,2025-08-07,1,29,3,2,3,2,2313,0.15,3932.1,2340.39,1591.71,270,10,No
187,2025-10-04,88,18,2,3,2,5,2176,0,10880,7713.38,3166.62,253,4,Yes
188,2025-06-27,38,1,4,3,1,1,4529,0.05,4302.55,2841.39,1461.16,165,5,Yes
189,2025-07-07,23,26,1,2,2,1,1631,0,1631,870.09,760.91,300,1,No
190,2025-04-14,41,6,3,2,3,1,1547,0,1547,1226.61,320.39,208,6,Yes
191,2025-09-29,83,24,4,1,2,2,1921,0.1,3457.8,2688.41,769.39,231,10,No
192,2025-01-15,72,30,1,4,1,4,1948,0.05,7402.4,4961.74,2440.66,245,4,No
193,2025-03-17,58,12,2,1,2,2,3740,0,7480,5272.62,2207.38,216,2,No
194,2025-02-02,9,16,4,3,3,2,1023,0,2046,1605.72,440.28,255,2,No
195,2025-09-29,20,27,3,2,3,4,3401,0.1,12243.6,8327.42,3916.18,212,8,Yes
196,2025-06-30,92,4,3,3,2,5,505,0,2525,2018.11,506.89,250,4,No
197,2025-09-23,57,14,2,1,1,3,372,0.05,1060.2,714.0,346.2,264,3,Yes
198,2025-10-30,2,4,3,1,3,1,1784,0.15,1516.4,1080.36,436.04,123,1,Yes
199,2025-10-02,93,21,4,2,2,4,868,0.15,2951.2,1755.6,1195.6,139,4,No
200,2025-03-25,96,27,1,3,2,1,3346,0.15,2844.1,2148.67,695.43,196,1,No
201,2025-09-27,84,6,4,2,1,3,2765,0.05,7880.25,6087.47,1792.78,135,9,Yes
202,2025-12-08,28,22,1,2,1,3,819,0.05,2334.15,1652.09,682.06,268,8,No
203,2025-06-09,44,8,4,3,1,3,1415,0.15,3608.25,2295.08,1313.17,167,10,No
204,2025-06-08,76,22,1,2,1,1,3462,0,3462,1749.86,1712.14,78,2,Yes
205,2025-09-02,5,14,1,1,2,3,3639,0.05,10371.15,5299.44,5071.71,297,6,No
206,2025-10-06,58,30,2,4,2,2,2487,0,4974,3067.08,1906.92,285,3,Yes
207,2025-08-21,52,8,3,3,3,4,662,0.05,2515.6,1728.09,787.51,139,5,Yes
208,2025-05-10,90,18,4,1,1,4,3870,0.1,13932.0,10801.63,3130.37,136,5,No
209,2025-10-03,13,20,4,3,2,2,1527,0.1,2748.6,1946.96,801.64,268,5,No
210,2025-01-19,44,13,3,3,1,5,4962,0,24810,19218.38,5591.62,238,4,Yes
211,2025-08-05,73,29,3,4,3,5,2898,0.15,12316.5,7048.59,5267.91,265,10,No
212,2025-12-25,8,15,4,1,1,2,3122,0.15,5307.4,2710.57,2596.83,61,4,No
213,2025-05-20,85,30,1,3,2,1,2229,0.15,1894.65,1205.98,688.67,225,3,Yes
214,2025-01-27,35,8,4,1,2,1,3025,0,3025,2405.79,619.21,193,7,Yes
215,2025-03-11,6,9,2,2,3,2,2506,0,5012,3536.86,1475.14,240,7,Yes
216,2025-08-18,85,30,2,2,3,1,3038,0.1,2734.2,1586.35,1147.85,163,5,No
217,2025-11-23,36,16,1,4,1,1,3921,0,3921,3069.08,851.92,135,5,Yes
218,2025-07-29,22,15,4,4,2,3,2678,0.1,7230.6,3860.82,3369.78,169,9,No
219,2025-03-30,22,10,3,3,1,1,314,0.05,298.3,161.95,136.35,166,8,No
220,2025-12-01,90,7,3,1,2,3,3785,0.15,9651.75,7066.99,2584.76,87,3,No
221,2025-06-01,70,17,2,2,3,5,3704,0,18520,11781.83,6738.17,268,5,Yes
222,2025-07-15,33,14,4,4,3,2,1491,0.15,2534.7,1898.14,636.56,114,8,Yes
223,2025-03-10,2,12,4,2,3,5,514,0,2570,1737.59,832.41,161,6,Yes
224,2025-03-16,23,4,3,4,2,4,328,0.1,1180.8,748.81,431.99,262,7,Yes
225,2025-03-17,51,23,1,2,1,1,2946,0.15,2504.1,1423.23,1080.87,250,3,Yes
226,2025-10-31,26,17,1,3,2,3,2369,0.05,6751.65,4245.31,2506.34,51,9,Yes
227,2025-08-04,24,29,4,1,1,2,2759,0.05,5242.1,4033.77,1208.33,126,10,Yes
228,2025-06-26,58,12,3,4,2,4,1381,0.05,5247.8,3852.61,1395.19,185,9,Yes
229,2025-01-14,79,24,4,3,2,4,386,0.15,1312.4,963.67,348.73,141,10,Yes
230,2025-11-20,98,18,4,3,1,3,1808,0,5424,4190.75,1233.25,253,4,No
231,2025-02-18,50,1,4,3,1,3,3421,0.05,9749.85,6757.77,2992.08,50,6,No
232,2025-10-15,39,22,3,2,1,2,1954,0.15,3321.8,1869.69,1452.11,275,8,Yes
233,2025-12-04,15,27,3,2,3,4,4972,0,19888,10679.9,9208.1,271,10,No
234,2025-05-02,42,10,1,4,1,5,2327,0,11635,7608.83,4026.17,243,2,No
235,2025-09-18,32,30,1,4,3,1,263,0,263,151.92,111.08,216,10,Yes
236,2025-03-09,47,16,4,3,2,4,3711,0.05,14101.8,10694.12,3407.68,123,5,No
237,2025-08-24,61,13,4,4,3,1,608,0.15,516.8,357.14,159.66,219,1,Yes
238,2025-06-15,26,22,3,1,2,5,1195,0,5975,4281.01,1693.99,89,6,Yes
239,2025-12-31,68,6,3,1,1,5,1790,0.05,8502.5,5515.69,2986.81,183,6,Yes
240,2025-01-21,46,24,4,3,3,4,4867,0,19468,12521.55,6946.45,148,2,No
241,2025-09-25,14,2,1,3,1,2,3416,0.05,6490.4,4086.17,2404.23,193,7,No
242,2025-03-12,79,30,2,2,1,1,2551,0.15,2168.35,1341.83,826.52,65,4,No
243,2025-08-01,10,22,3,2,2,4,4221,0.05,16039.8,11129.11,4910.69,158,8,Yes
244,2025-10-03,35,19,4,3,1,3,2093,0.15,5337.15,3552.36,1784.79,300,10,No
245,2025-12-18,23,9,1,2,2,3,2408,0,7224,3681.11,3542.89,170,10,Yes
246,2025-05-07,81,27,1,1,1,2,323,0.15,549.1,392.63,156.47,153,7,No
247,2025-05-29,1,9,3,4,1,5,2293,0.15,9745.25,5793.48,3951.77,295,8,Yes
248,2025-11-08,71,12,3,4,3,4,2193,0,8772,5375.43,3396.57,63,5,Yes
249,2025-10-02,82,9,2,1,1,5,805,0,4025,2694.84,1330.16,82,8,No
250,2025-11-23,44,11,1,1,1,3,3742,0.15,9542.1,5023.34,4518.76,236,8,Yes
251,2025-10-18,63,21,3,2,3,1,4745,0,4745,3790.18,954.82,94,2,No
252,2025-03-07,55,12,2,1,2,5,4563,0,22815,14052.1,8762.9,156,9,No
253,2025-07-10,65,30,3,4,1,2,3988,0.1,7178.4,4884.94,2293.46,148,6,No
254,2025-07-11,9,10,3,1,1,2,2011,0,4022,2734.88,1287.12,217,8,No
255,2025-10-19,6,23,3,3,1,2,3595,0.15,6111.5,4355.65,1755.85,116,8,No
256,2025-09-12,42,21,4,1,2,2,2845,0.1,5121.0,3345.86,1775.14,274,5,Yes
257,2025-05-22,89,2,4,4,1,1,511,0.15,434.35,299.49,134.86,220,10,Yes
258,2025-11-09,5,29,3,1,2,4,3295,0.15,11203.0,8341.07,2861.93,107,5,Yes
259,2025-07-27,29,18,4,2,1,5,3807,0,19035,10673.56,8361.44,165,3,No
260,2025-05-10,76,8,2,2,1,5,4618,0.1,20781.0,15026.96,5754.04,211,4,No
261,2025-04-06,38,3,2,4,1,5,1586,0,7930,5561.81,2368.19,300,6,No
262,2025-03-05,34,23,4,2,2,4,3848,0.1,13852.8,10496.57,3356.23,63,2,Yes
263,2025-12-20,63,26,2,3,1,3,532,0.05,1516.2,1189.42,326.78,136,5,Yes
264,2025-07-30,38,28,1,1,2,4,4637,0,18548,12179.0,6369.0,114,1,No
265,2025-04-29,46,29,1,4,1,1,1515,0.1,1363.5,912.68,450.82,220,1,Yes
266,2025-07-27,99,10,3,2,2,4,4623,0.15,15718.2,8792.29,6925.91,113,8,No
267,2025-06-06,36,8,3,2,2,4,4495,0,17980,9424.89,8555.11,145,9,No
268,2025-02-12,98,1,2,1,2,5,4208,0,21040,11880.36,9159.64,118,2,No
269,2025-08-27,59,8,2,3,3,4,939,0.1,3380.4,2377.05,1003.35,285,3,No
270,2025-06-25,6,15,3,1,3,5,4037,0.05,19175.75,13471.1,5704.65,64,7,No
271,2025-01-26,54,9,3,4,1,4,582,0,2328,1597.39,730.61,59,4,Yes
272,2025-05-25,18,29,4,4,1,4,4972,0.1,17899.2,14055.78,3843.42,112,3,Yes
273,2025-11-24,80,25,2,3,1,1,1302,0,1302,913.0,389.0,195,7,No
274,2025-12-21,19,27,2,3,3,4,1642,0.15,5582.8,2857.47,2725.33,118,4,No
275,2025-12-17,92,17,2,4,3,1,963,0.1,866.7,644.24,222.46,111,3,No
276,2025-10-12,81,12,2,1,1,2,3488,0.05,6627.2,4749.09,1878.11,155,2,Yes
277,2025-10-18,57,22,4,1,2,2,1885,0.1,3393.0,1970.89,1422.11,243,9,No
278,2025-05-02,48,9,1,1,2,2,3560,0.15,6052.0,4236.02,1815.98,204,8,Yes
279,2025-01-29,18,2,4,1,1,4,1019,0.1,3668.4,1836.59,1831.81,102,2,No
280,2025-10-02,65,20,3,4,2,5,4439,0.1,19975.5,13065.0,6910.5,203,10,No
281,2025-06-06,4,26,1,1,1,5,276,0.05,1311.0,868.04,442.96,169,3,No
282,2025-08-18,2,13,4,4,3,3,1899,0,5697,3980.14,1716.86,289,8,Yes
283,2025-02-28,64,28,3,3,3,4,550,0.05,2090.0,1183.57,906.43,81,3,Yes
284,2025-11-06,30,15,4,4,3,2,2055,0,4110,2818.11,1291.89,252,9,Yes
285,2025-06-06,74,19,3,2,1,3,341,0.15,869.55,539.22,330.33,274,10,Yes
286,2025-09-21,50,9,3,2,1,4,1518,0,6072,4670.51,1401.49,197,3,No
