ResultID,ExamID,StudentID,Marks,Grade,ResultStatus
69,69,259,46,C,Fail
70,70,270,59,A+,Pass
71,71,281,72,A,Pass
72,72,292,85,B+,Pass
73,73,303,98,B,Pass
74,74,314,55,C,Fail
75,75,325,68,A+,Pass
76,76,336,81,A,Pass
77,77,347,94,B+,Pass
78,78,358,51,B,Pass
79,79,369,64,C,Fail
80,80,380,77,A+,Pass
81,81,391,90,A,Pass
82,82,402,47,B+,Pass
83,83,413,60,B,Pass
84,84,424,73,C,Fail
85,85,435,86,A+,Pass
86,86,446,99,A,Pass
87,87,457,56,B+,Pass
88,88,468,69,B,Pass
89,89,479,82,C,Fail
90,90,490,95,A+,Pass
91,91,1,52,A,Pass
92,92,12,65,B+,Pass
93,93,23,78,B,Pass
94,94,34,91,C,Fail
95,95,45,48,A+,Pass
96,96,56,61,A,Pass
97,97,67,74,B+,Pass
98,98,78,87,B,Pass
99,99,89,100,C,Fail
100,100,100,57,A+,Pass
101,101,111,70,A,Pass
102,102,122,83,B+,Pass
103,103,133,96,B,Pass
104,104,144,53,C,Fail
105,105,155,66,A+,Pass
106,106,166,79,A,Pass
107,107,177,92,B+,Pass
108,108,188,49,B,Pass
109,109,199,62,C,Fail
110,110,210,75,A+,Pass
111,111,221,88,A,Pass
112,112,232,45,B+,Pass
113,113,243,58,B,Pass
114,114,254,71,C,Fail
115,115,265,84,A+,Pass
116,116,276,97,A,Pass
117,117,287,54,B+,Pass
118,118,298,67,B,Pass
119,119,309,80,C,Fail
120,120,320,93,A+,Pass
121,121,331,50,A,Pass
122,122,342,63,B+,Pass
123,123,353,76,B,Pass
124,124,364,89,C,Fail
125,125,375,46,A+,Pass
126,126,386,59,A,Pass
127,127,397,72,B+,Pass
128,128,408,85,B,Pass
129,129,419,98,C,Fail
130,130,430,55,A+,Pass
131,131,441,68,A,Pass
132,132,452,81,B+,Pass
133,133,463,94,B,Pass
134,134,474,51,C,Fail
135,135,485,64,A+,Pass
136,136,496,77,A,Pass
137,137,7,90,B+,Pass
138,138,18,47,B,Pass
139,139,29,60,C,Fail
140,140,40,73,A+,Pass
141,141,51,86,A,Pass
142,142,62,99,B+,Pass
143,143,73,56,B,Pass
144,144,84,69,C,Fail
145,145,95,82,A+,Pass
146,146,106,95,A,Pass
147,147,117,52,B+,Pass
148,148,128,65,B,Pass
149,149,139,78,C,Fail
150,150,150,91,A+,Pass
151,151,161,48,A,Pass
152,152,172,61,B+,Pass
153,153,183,74,B,Pass
154,154,194,87,C,Fail
155,155,205,100,A+,Pass
156,156,216,57,A,Pass
157,157,227,70,B+,Pass
158,158,238,83,B,Pass
159,159,249,96,C,Fail
160,160,260,53,A+,Pass
161,161,271,66,A,Pass
162,162,282,79,B+,Pass
163,163,293,92,B,Pass
164,164,304,49,C,Fail
165,165,315,62,A+,Pass
166,166,326,75,A,Pass
167,167,337,88,B+,Pass
168,168,348,45,B,Pass
169,169,359,58,C,Fail
170,170,370,71,A+,Pass
171,171,381,84,A,Pass
172,172,392,97,B+,Pass
173,173,403,54,B,Pass
174,174,414,67,C,Fail
175,175,425,80,A+,Pass
176,176,436,93,A,Pass
177,177,447,50,B+,Pass
178,178,458,63,B,Pass
179,179,469,76,C,Fail
180,180,480,89,A+,Pass
181,181,491,46,A,Pass
182,182,2,59,B+,Pass
183,183,13,72,B,Pass
184,184,24,85,C,Fail
185,185,35,98,A+,Pass
186,186,46,55,A,Pass
187,187,57,68,B+,Pass
188,188,68,81,B,Pass
189,189,79,94,C,Fail
190,190,90,51,A+,Pass
191,191,101,64,A,Pass
192,192,112,77,B+,Pass
193,193,123,90,B,Pass
194,194,134,47,C,Fail
195,195,145,60,A+,Pass
196,196,156,73,A,Pass
197,197,167,86,B+,Pass
198,198,178,99,B,Pass
199,199,189,56,C,Fail
200,200,200,69,A+,Pass
201,201,211,82,A,Pass
202,202,222,95,B+,Pass
203,203,233,52,B,Pass
204,204,244,65,C,Fail
205,205,255,78,A+,Pass
206,206,266,91,A,Pass
207,207,277,48,B+,Pass
208,208,288,61,B,Pass
209,209,299,74,C,Fail
210,210,310,87,A+,Pass
211,211,321,100,A,Pass
212,212,332,57,B+,Pass
213,213,343,70,B,Pass
214,214,354,83,C,Fail
215,215,365,96,A+,Pass
216,216,376,53,A,Pass
217,217,387,66,B+,Pass
218,218,398,79,B,Pass
219,219,409,92,C,Fail
220,220,420,49,A+,Pass
221,221,431,62,A,Pass
222,222,442,75,B+,Pass
223,223,453,88,B,Pass
224,224,464,45,C,Fail
225,225,475,58,A+,Pass
226,226,486,71,A,Pass
227,227,497,84,B+,Pass
228,228,8,97,B,Pass
229,229,19,54,C,Fail
230,230,30,67,A+,Pass
231,231,41,80,A,Pass
232,232,52,93,B+,Pass
233,233,63,50,B,Pass
234,234,74,63,C,Fail
235,235,85,76,A+,Pass
236,236,96,89,A,Pass
237,237,107,46,B+,Pass
238,238,118,59,B,Pass
239,239,129,72,C,Fail
240,240,140,85,A+,Pass
241,241,151,98,A,Pass
242,242,162,55,B+,Pass
243,243,173,68,B,Pass
244,244,184,81,C,Fail
245,245,195,94,A+,Pass
246,246,206,51,A,Pass
247,247,217,64,B+,Pass
248,248,228,77,B,Pass
249,249,239,90,C,Fail
250,250,250,47,A+,Pass
251,1,261,60,A,Pass
252,2,272,73,B+,Pass
253,3,283,86,B,Pass
254,4,294,99,C,Fail
255,5,305,56,A+,Pass
256,6,316,69,A,Pass
257,7,327,82,B+,Pass
258,8,338,95,B,Pass
259,9,349,52,C,Fail
260,10,360,65,A+,Pass
261,11,371,78,A,Pass
262,12,382,91,B+,Pass
263,13,393,48,B,Pass
264,14,404,61,C,Fail
265,15,415,74,A+,Pass
266,16,426,87,A,Pass
267,17,437,100,B+,Pass
268,18,448,57,B,Pass
269,19,459,70,C,Fail
270,20,470,83,A+,Pass
271,21,481,96,A,Pass
272,22,492,53,B+,Pass
273,23,3,66,B,Pass
274,24,14,79,C,Fail
275,25,25,92,A+,Pass
276,26,36,49,A,Pass
277,27,47,62,B+,Pass
278,28,58,75,B,Pass
279,29,69,88,C,Fail
280,30,80,45,A+,Pass
281,31,91,58,A,Pass
282,32,102,71,B+,Pass
283,33,113,84,B,Pass
284,34,124,97,C,Fail
285,35,135,54,A+,Pass
286,36,146,67,A,Pass
287,37,157,80,B+,Pass
288,38,168,93,B,Pass
289,39,179,50,C,Fail
290,40,190,63,A+,Pass
291,41,201,76,A,Pass
292,42,212,89,B+,Pass
293,43,223,46,B,Pass
294,44,234,59,C,Fail
295,45,245,72,A+,Pass
296,46,256,85,A,Pass
297,47,267,98,B+,Pass
298,48,278,55,B,Pass
299,49,289,68,C,Fail
300,50,300,81,A+,Pass
301,51,311,94,A,Pass
302,52,322,51,B+,Pass
303,53,333,64,B,Pass
304,54,344,77,C,Fail
305,55,355,90,A+,Pass
306,56,366,47,A,Pass
307,57,377,60,B+,Pass
308,58,388,73,B,Pass
309,59,399,86,C,Fail
310,60,410,99,A+,Pass
311,61,421,56,A,Pass
312,62,432,69,B+,Pass
313,63,443,82,B,Pass
314,64,454,95,C,Fail
315,65,465,52,A+,Pass
316,66,476,65,A,Pass
317,67,487,78,B+,Pass
318,68,498,91,B,Pass
319,69,9,48,C,Fail
320,70,20,61,A+,Pass
321,71,31,74,A,Pass
322,72,42,87,B+,Pass
323,73,53,100,B,Pass
324,74,64,57,C,Fail
325,75,75,70,A+,Pass
326,76,86,83,A,Pass
327,77,97,96,B+,Pass
328,78,108,53,B,Pass
329,79,119,66,C,Fail
330,80,130,79,A+,Pass
331,81,141,92,A,Pass
332,82,152,49,B+,Pass
333,83,163,62,B,Pass
334,84,174,75,C,Fail
335,85,185,88,A+,Pass
336,86,196,45,A,Pass
337,87,207,58,B+,Pass
338,88,218,71,B,Pass
339,89,229,84,C,Fail
340,90,240,97,A+,Pass
341,91,251,54,A,Pass
342,92,262,67,B+,Pass
343,93,273,80,B,Pass
344,94,284,93,C,Fail
345,95,295,50,A+,Pass
346,96,306,63,A,Pass
347,97,317,76,B+,Pass
348,98,328,89,B,Pass
349,99,339,46,C,Fail
350,100,350,59,A+,Pass
351,101,361,72,A,Pass
352,102,372,85,B+,Pass
353,103,383,98,B,Pass
354,104,394,55,C,Fail
355,105,405,68,A+,Pass
356,106,416,81,A,Pass
357,107,427,94,B+,Pass
358,108,438,51,B,Pass
359,109,449,64,C,Fail
360,110,460,77,A+,Pass
361,111,471,90,A,Pass
362,112,482,47,B+,Pass
363,113,493,60,B,Pass
364,114,4,73,C,Fail
365,115,15,86,A+,Pass
366,116,26,99,A,Pass
367,117,37,56,B+,Pass
368,118,48,69,B,Pass
369,119,59,82,C,Fail
370,120,70,95,A+,Pass
371,121,81,52,A,Pass
372,122,92,65,B+,Pass
373,123,103,78,B,Pass
374,124,114,91,C,Fail
375,125,125,48,A+,Pass
376,126,136,61,A,Pass
377,127,147,74,B+,Pass
378,128,158,87,B,Pass
379,129,169,100,C,Fail
380,130,180,57,A+,Pass
381,131,191,70,A,Pass
382,132,202,83,B+,Pass
383,133,213,96,B,Pass
384,134,224,53,C,Fail
385,135,235,66,A+,Pass
386,136,246,79,A,Pass
387,137,257,92,B+,Pass
388,138,268,49,B,Pass
389,139,279,62,C,Fail
390,140,290,75,A+,Pass
391,141,301,88,A,Pass
392,142,312,45,B+,Pass
393,143,323,58,B,Pass
394,144,334,71,C,Fail
395,145,345,84,A+,Pass
396,146,356,97,A,Pass
397,147,367,54,B+,Pass
398,148,378,67,B,Pass
399,149,389,80,C,Fail
400,150,400,93,A+,Pass
401,151,411,50,A,Pass
402,152,422,63,B+,Pass
403,153,433,76,B,Pass
404,154,444,89,C,Fail
405,155,455,46,A+,Pass
406,156,466,59,A,Pass
407,157,477,72,B+,Pass
408,158,488,85,B,Pass
409,159,499,98,C,Fail
410,160,10,55,A+,Pass
411,161,21,68,A,Pass
412,162,32,81,B+,Pass
413,163,43,94,B,Pass
414,164,54,51,C,Fail
415,165,65,64,A+,Pass
416,166,76,77,A,Pass
417,167,87,90,B+,Pass
418,168,98,47,B,Pass
419,169,109,60,C,Fail
420,170,120,73,A+,Pass
421,171,131,86,A,Pass
422,172,142,99,B+,Pass
423,173,153,56,B,Pass
424,174,164,69,C,Fail
425,175,175,82,A+,Pass
426,176,186,95,A,Pass
427,177,197,52,B+,Pass
428,178,208,65,B,Pass
429,179,219,78,C,Fail
430,180,230,91,A+,Pass
431,181,241,48,A,Pass
432,182,252,61,B+,Pass
433,183,263,74,B,Pass
434,184,274,87,C,Fail
435,185,285,100,A+,Pass
436,186,296,57,A,Pass
437,187,307,70,B+,Pass
438,188,318,83,B,Pass
439,189,329,96,C,Fail
440,190,340,53,A+,Pass
441,191,351,66,A,Pass
442,192,362,79,B+,Pass
443,193,373,92,B,Pass
444,194,384,49,C,Fail
445,195,395,62,A+,Pass
446,196,406,75,A,Pass
447,197,417,88,B+,Pass
448,198,428,45,B,Pass
449,199,439,58,C,Fail
450,200,450,71,A+,Pass
451,201,461,84,A,Pass
452,202,472,97,B+,Pass
453,203,483,54,B,Pass
454,204,494,67,C,Fail
455,205,5,80,A+,Pass
456,206,16,93,A,Pass
457,207,27,50,B+,Pass
458,208,38,63,B,Pass
459,209,49,76,C,Fail
460,210,60,89,A+,Pass
461,211,71,46,A,Pass
462,212,82,59,B+,Pass
463,213,93,72,B,Pass
464,214,104,85,C,Fail
465,215,115,98,A+,Pass
466,216,126,55,A,Pass
467,217,137,68,B+,Pass
468,218,148,81,B,Pass
469,219,159,94,C,Fail
470,220,170,51,A+,Pass
471,221,181,64,A,Pass
472,222,192,77,B+,Pass
473,223,203,90,B,Pass
474,224,214,47,C,Fail
475,225,225,60,A+,Pass
476,226,236,73,A,Pass
477,227,247,86,B+,Pass
478,228,258,99,B,Pass
479,229,269,56,C,Fail
480,230,280,69,A+,Pass
481,231,291,82,A,Pass
482,232,302,95,B+,Pass
483,233,313,52,B,Pass
484,234,324,65,C,Fail
485,235,335,78,A+,Pass
486,236,346,91,A,Pass
487,237,357,48,B+,Pass
488,238,368,61,B,Pass
489,239,379,74,C,Fail
490,240,390,87,A+,Pass
491,241,401,100,A,Pass
492,242,412,57,B+,Pass
493,243,423,70,B,Pass
494,244,434,83,C,Fail
495,245,445,96,A+,Pass
496,246,456,53,A,Pass
497,247,467,66,B+,Pass
498,248,478,79,B,Pass
499,249,489,92,C,Fail
500,250,500,49,A+,Pass
501,1,11,62,A,Pass
502,2,22,75,B+,Pass
503,3,33,88,B,Pass
504,4,44,45,C,Fail
505,5,55,58,A+,Pass
506,6,66,71,A,Pass
507,7,77,84,B+,Pass
508,8,88,97,B,Pass
509,9,99,54,C,Fail
510,10,110,67,A+,Pass
511,11,121,80,A,Pass
512,12,132,93,B+,Pass
513,13,143,50,B,Pass
514,14,154,63,C,Fail
515,15,165,76,A+,Pass
516,16,176,89,A,Pass
517,17,187,46,B+,Pass
518,18,198,59,B,Pass
519,19,209,72,C,Fail
520,20,220,85,A+,Pass
521,21,231,98,A,Pass
522,22,242,55,B+,Pass
523,23,253,68,B,Pass
524,24,264,81,C,Fail
525,25,275,94,A+,Pass
526,26,286,51,A,Pass
527,27,297,64,B+,Pass
528,28,308,77,B,Pass
529,29,319,90,C,Fail
530,30,330,47,A+,Pass
531,31,341,60,A,Pass
532,32,352,73,B+,Pass
533,33,363,86,B,Pass
534,34,374,99,C,Fail
535,35,385,56,A+,Pass
536,36,396,69,A,Pass
537,37,407,82,B+,Pass
538,38,418,95,B,Pass
539,39,429,52,C,Fail
540,40,440,65,A+,Pass
541,41,451,78,A,Pass
542,42,462,91,B+,Pass
543,43,473,48,B,Pass
544,44,484,61,C,Fail
545,45,495,74,A+,Pass
546,46,6,87,A,Pass
547,47,17,100,B+,Pass
548,48,28,57,B,Pass
549,49,39,70,C,Fail
550,50,50,83,A+,Pass
551,51,61,96,A,Pass
552,52,72,53,B+,Pass
553,53,83,66,B,Pass
554,54,94,79,C,Fail
555,55,105,92,A+,Pass
556,56,116,49,A,Pass
557,57,127,62,B+,Pass
558,58,138,75,B,Pass
559,59,149,88,C,Fail
560,60,160,45,A+,Pass
561,61,171,58,A,Pass
562,62,182,71,B+,Pass
563,63,193,84,B,Pass
564,64,204,97,C,Fail
565,65,215,54,A+,Pass
566,66,226,67,A,Pass
567,67,237,80,B+,Pass
568,68,248,93,B,Pass
569,69,259,50,C,Fail
570,70,270,63,A+,Pass
571,71,281,76,A,Pass
572,72,292,89,B+,Pass
573,73,303,46,B,Pass
574,74,314,59,C,Fail
575,75,325,72,A+,Pass
576,76,336,85,A,Pass
577,77,347,98,B+,Pass
578,78,358,55,B,Pass
579,79,369,68,C,Fail
580,80,380,81,A+,Pass
581,81,391,94,A,Pass
582,82,402,51,B+,Pass
583,83,413,64,B,Pass
584,84,424,77,C,Fail
585,85,435,90,A+,Pass
586,86,446,47,A,Pass
587,87,457,60,B+,Pass
588,88,468,73,B,Pass
589,89,479,86,C,Fail
590,90,490,99,A+,Pass
591,91,1,56,A,Pass
592,92,12,69,B+,Pass
593,93,23,82,B,Pass
594,94,34,95,C,Fail
595,95,45,52,A+,Pass
596,96,56,65,A,Pass
597,97,67,78,B+,Pass
598,98,78,91,B,Pass
599,99,89,48,C,Fail
600,100,100,61,A+,Pass
