AttendanceID,StudentID,CourseID,ClassesHeld,ClassesPresent,AttendancePercentage
168,168,12,33,33,100.0
169,169,21,34,33,97.06
170,170,30,35,33,94.29
171,171,39,36,33,91.67
172,172,48,37,33,89.19
173,173,57,38,33,86.84
174,174,66,39,33,84.62
175,175,75,40,40,100.0
176,176,84,30,29,96.67
177,177,93,31,29,93.55
178,178,2,32,29,90.62
179,179,11,33,29,87.88
180,180,20,34,29,85.29
181,181,29,35,29,82.86
182,182,38,36,36,100.0
183,183,47,37,36,97.3
184,184,56,38,36,94.74
185,185,65,39,36,92.31
186,186,74,40,36,90.0
187,187,83,30,25,83.33
188,188,92,31,25,80.65
189,189,1,32,32,100.0
190,190,10,33,32,96.97
191,191,19,34,32,94.12
192,192,28,35,32,91.43
193,193,37,36,32,88.89
194,194,46,37,32,86.49
195,195,55,38,32,84.21
196,196,64,39,39,100.0
197,197,73,40,39,97.5
198,198,82,30,28,93.33
199,199,91,31,28,90.32
200,200,100,32,28,87.5
201,201,9,33,28,84.85
202,202,18,34,28,82.35
203,203,27,35,35,100.0
204,204,36,36,35,97.22
205,205,45,37,35,94.59
206,206,54,38,35,92.11
207,207,63,39,35,89.74
208,208,72,40,35,87.5
209,209,81,30,24,80.0
210,210,90,31,31,100.0
211,211,99,32,31,96.88
212,212,8,33,31,93.94
213,213,17,34,31,91.18
214,214,26,35,31,88.57
215,215,35,36,31,86.11
216,216,44,37,31,83.78
217,217,53,38,38,100.0
218,218,62,39,38,97.44
219,219,71,40,38,95.0
220,220,80,30,27,90.0
221,221,89,31,27,87.1
222,222,98,32,27,84.38
223,223,7,33,27,81.82
224,224,16,34,34,100.0
225,225,25,35,34,97.14
226,226,34,36,34,94.44
227,227,43,37,34,91.89
228,228,52,38,34,89.47
229,229,61,39,34,87.18
230,230,70,40,34,85.0
231,231,79,30,30,100.0
232,232,88,31,30,96.77
233,233,97,32,30,93.75
234,234,6,33,30,90.91
235,235,15,34,30,88.24
236,236,24,35,30,85.71
237,237,33,36,30,83.33
238,238,42,37,37,100.0
239,239,51,38,37,97.37
240,240,60,39,37,94.87
241,241,69,40,37,92.5
242,242,78,30,26,86.67
243,243,87,31,26,83.87
244,244,96,32,26,81.25
245,245,5,33,33,100.0
246,246,14,34,33,97.06
247,247,23,35,33,94.29
248,248,32,36,33,91.67
249,249,41,37,33,89.19
250,250,50,38,33,86.84
251,251,59,39,33,84.62
252,252,68,40,40,100.0
253,253,77,30,29,96.67
254,254,86,31,29,93.55
255,255,95,32,29,90.62
256,256,4,33,29,87.88
257,257,13,34,29,85.29
258,258,22,35,29,82.86
259,259,31,36,36,100.0
260,260,40,37,36,97.3
261,261,49,38,36,94.74
262,262,58,39,36,92.31
263,263,67,40,36,90.0
264,264,76,30,25,83.33
265,265,85,31,25,80.65
266,266,94,32,32,100.0
267,267,3,33,32,96.97
268,268,12,34,32,94.12
269,269,21,35,32,91.43
270,270,30,36,32,88.89
271,271,39,37,32,86.49
272,272,48,38,32,84.21
273,273,57,39,39,100.0
274,274,66,40,39,97.5
275,275,75,30,28,93.33
276,276,84,31,28,90.32
277,277,93,32,28,87.5
278,278,2,33,28,84.85
279,279,11,34,28,82.35
280,280,20,35,35,100.0
281,281,29,36,35,97.22
282,282,38,37,35,94.59
283,283,47,38,35,92.11
284,284,56,39,35,89.74
285,285,65,40,35,87.5
286,286,74,30,24,80.0
287,287,83,31,31,100.0
288,288,92,32,31,96.88
289,289,1,33,31,93.94
290,290,10,34,31,91.18
291,291,19,35,31,88.57
292,292,28,36,31,86.11
293,293,37,37,31,83.78
294,294,46,38,38,100.0
295,295,55,39,38,97.44
296,296,64,40,38,95.0
297,297,73,30,27,90.0
298,298,82,31,27,87.1
299,299,91,32,27,84.38
300,300,100,33,27,81.82
301,301,9,34,34,100.0
302,302,18,35,34,97.14
303,303,27,36,34,94.44
304,304,36,37,34,91.89
305,305,45,38,34,89.47
306,306,54,39,34,87.18
307,307,63,40,34,85.0
308,308,72,30,30,100.0
309,309,81,31,30,96.77
310,310,90,32,30,93.75
311,311,99,33,30,90.91
312,312,8,34,30,88.24
313,313,17,35,30,85.71
314,314,26,36,30,83.33
315,315,35,37,37,100.0
316,316,44,38,37,97.37
317,317,53,39,37,94.87
318,318,62,40,37,92.5
319,319,71,30,26,86.67
320,320,80,31,26,83.87
321,321,89,32,26,81.25
322,322,98,33,33,100.0
323,323,7,34,33,97.06
324,324,16,35,33,94.29
325,325,25,36,33,91.67
326,326,34,37,33,89.19
327,327,43,38,33,86.84
328,328,52,39,33,84.62
329,329,61,40,40,100.0
330,330,70,30,29,96.67
331,331,79,31,29,93.55
332,332,88,32,29,90.62
333,333,97,33,29,87.88
334,334,6,34,29,85.29
335,335,15,35,29,82.86
336,336,24,36,36,100.0
337,337,33,37,36,97.3
338,338,42,38,36,94.74
339,339,51,39,36,92.31
340,340,60,40,36,90.0
341,341,69,30,25,83.33
342,342,78,31,25,80.65
343,343,87,32,32,100.0
344,344,96,33,32,96.97
345,345,5,34,32,94.12
346,346,14,35,32,91.43
347,347,23,36,32,88.89
348,348,32,37,32,86.49
349,349,41,38,32,84.21
350,350,50,39,39,100.0
351,351,59,40,39,97.5
352,352,68,30,28,93.33
353,353,77,31,28,90.32
354,354,86,32,28,87.5
355,355,95,33,28,84.85
356,356,4,34,28,82.35
357,357,13,35,35,100.0
358,358,22,36,35,97.22
359,359,31,37,35,94.59
360,360,40,38,35,92.11
361,361,49,39,35,89.74
362,362,58,40,35,87.5
363,363,67,30,24,80.0
364,364,76,31,31,100.0
365,365,85,32,31,96.88
366,366,94,33,31,93.94
367,367,3,34,31,91.18
368,368,12,35,31,88.57
369,369,21,36,31,86.11
370,370,30,37,31,83.78
371,371,39,38,38,100.0
372,372,48,39,38,97.44
373,373,57,40,38,95.0
374,374,66,30,27,90.0
375,375,75,31,27,87.1
376,376,84,32,27,84.38
377,377,93,33,27,81.82
378,378,2,34,34,100.0
379,379,11,35,34,97.14
380,380,20,36,34,94.44
381,381,29,37,34,91.89
382,382,38,38,34,89.47
383,383,47,39,34,87.18
384,384,56,40,34,85.0
385,385,65,30,30,100.0
386,386,74,31,30,96.77
387,387,83,32,30,93.75
388,388,92,33,30,90.91
389,389,1,34,30,88.24
390,390,10,35,30,85.71
391,391,19,36,30,83.33
392,392,28,37,37,100.0
393,393,37,38,37,97.37
394,394,46,39,37,94.87
395,395,55,40,37,92.5
396,396,64,30,26,86.67
397,397,73,31,26,83.87
398,398,82,32,26,81.25
399,399,91,33,33,100.0
400,400,100,34,33,97.06
