ExamID,CourseID,ExamCode,ExamDate,ExamType,MaxMarks
55,65,EX-2024-055,2024-08-02,Practical,100
56,68,EX-2024-056,2024-09-03,Midterm,100
57,71,EX-2024-057,2024-10-04,Final,100
58,74,EX-2024-058,2024-11-05,Quiz,100
59,77,EX-2024-059,2024-12-06,Practical,100
60,80,EX-2024-060,2024-01-07,Midterm,100
61,83,EX-2024-061,2024-02-08,Final,100
62,86,EX-2024-062,2024-03-09,Quiz,100
63,89,EX-2024-063,2024-04-10,Practical,100
64,92,EX-2024-064,2024-05-11,Midterm,100
65,95,EX-2024-065,2024-06-12,Final,100
66,98,EX-2024-066,2024-07-13,Quiz,100
67,1,EX-2024-067,2024-08-14,Practical,100
68,4,EX-2024-068,2024-09-15,Midterm,100
69,7,EX-2024-069,2024-10-16,Final,100
70,10,EX-2024-070,2024-11-17,Quiz,100
71,13,EX-2024-071,2024-12-18,Practical,100
72,16,EX-2024-072,2024-01-19,Midterm,100
73,19,EX-2024-073,2024-02-20,Final,100
74,22,EX-2024-074,2024-03-21,Quiz,100
75,25,EX-2024-075,2024-04-22,Practical,100
76,28,EX-2024-076,2024-05-23,Midterm,100
77,31,EX-2024-077,2024-06-24,Final,100
78,34,EX-2024-078,2024-07-25,Quiz,100
79,37,EX-2024-079,2024-08-26,Practical,100
80,40,EX-2024-080,2024-09-27,Midterm,100
81,43,EX-2024-081,2024-10-01,Final,100
82,46,EX-2024-082,2024-11-02,Quiz,100
83,49,EX-2024-083,2024-12-03,Practical,100
84,52,EX-2024-084,2024-01-04,Midterm,100
85,55,EX-2024-085,2024-02-05,Final,100
86,58,EX-2024-086,2024-03-06,Quiz,100
87,61,EX-2024-087,2024-04-07,Practical,100
88,64,EX-2024-088,2024-05-08,Midterm,100
89,67,EX-2024-089,2024-06-09,Final,100
90,70,EX-2024-090,2024-07-10,Quiz,100
91,73,EX-2024-091,2024-08-11,Practical,100
92,76,EX-2024-092,2024-09-12,Midterm,100
93,79,EX-2024-093,2024-10-13,Final,100
94,82,EX-2024-094,2024-11-14,Quiz,100
95,85,EX-2024-095,2024-12-15,Practical,100
96,88,EX-2024-096,2024-01-16,Midterm,100
97,91,EX-2024-097,2024-02-17,Final,100
98,94,EX-2024-098,2024-03-18,Quiz,100
99,97,EX-2024-099,2024-04-19,Practical,100
100,100,EX-2024-100,2024-05-20,Midterm,100
101,3,EX-2024-101,2024-06-21,Final,100
102,6,EX-2024-102,2024-07-22,Quiz,100
103,9,EX-2024-103,2024-08-23,Practical,100
104,12,EX-2024-104,2024-09-24,Midterm,100
105,15,EX-2024-105,2024-10-25,Final,100
106,18,EX-2024-106,2024-11-26,Quiz,100
107,21,EX-2024-107,2024-12-27,Practical,100
108,24,EX-2024-108,2024-01-01,Midterm,100
109,27,EX-2024-109,2024-02-02,Final,100
110,30,EX-2024-110,2024-03-03,Quiz,100
111,33,EX-2024-111,2024-04-04,Practical,100
112,36,EX-2024-112,2024-05-05,Midterm,100
113,39,EX-2024-113,2024-06-06,Final,100
114,42,EX-2024-114,2024-07-07,Quiz,100
115,45,EX-2024-115,2024-08-08,Practical,100
116,48,EX-2024-116,2024-09-09,Midterm,100
117,51,EX-2024-117,2024-10-10,Final,100
118,54,EX-2024-118,2024-11-11,Quiz,100
119,57,EX-2024-119,2024-12-12,Practical,100
120,60,EX-2024-120,2024-01-13,Midterm,100
121,63,EX-2024-121,2024-02-14,Final,100
122,66,EX-2024-122,2024-03-15,Quiz,100
123,69,EX-2024-123,2024-04-16,Practical,100
124,72,EX-2024-124,2024-05-17,Midterm,100
125,75,EX-2025-125,2024-06-18,Final,100
126,78,EX-2025-126,2024-07-19,Quiz,100
127,81,EX-2025-127,2024-08-20,Practical,100
128,84,EX-2025-128,2024-09-21,Midterm,100
129,87,EX-2025-129,2024-10-22,Final,100
130,90,EX-2025-130,2024-11-23,Quiz,100
131,93,EX-2025-131,2024-12-24,Practical,100
132,96,EX-2025-132,2024-01-25,Midterm,100
133,99,EX-2025-133,2024-02-26,Final,100
134,2,EX-2025-134,2024-03-27,Quiz,100
135,5,EX-2025-135,2024-04-01,Practical,100
136,8,EX-2025-136,2024-05-02,Midterm,100
137,11,EX-2025-137,2024-06-03,Final,100
138,14,EX-2025-138,2024-07-04,Quiz,100
139,17,EX-2025-139,2024-08-05,Practical,100
140,20,EX-2025-140,2024-09-06,Midterm,100
141,23,EX-2025-141,2024-10-07,Final,100
142,26,EX-2025-142,2024-11-08,Quiz,100
143,29,EX-2025-143,2024-12-09,Practical,100
144,32,EX-2025-144,2024-01-10,Midterm,100
145,35,EX-2025-145,2024-02-11,Final,100
146,38,EX-2025-146,2024-03-12,Quiz,100
147,41,EX-2025-147,2024-04-13,Practical,100
148,44,EX-2025-148,2024-05-14,Midterm,100
149,47,EX-2025-149,2024-06-15,Final,100
150,50,EX-2025-150,2024-07-16,Quiz,100
151,53,EX-2025-151,2024-08-17,Practical,100
152,56,EX-2025-152,2024-09-18,Midterm,100
153,59,EX-2025-153,2024-10-19,Final,100
154,62,EX-2025-154,2024-11-20,Quiz,100
155,65,EX-2025-155,2024-12-21,Practical,100
156,68,EX-2025-156,2024-01-22,Midterm,100
157,71,EX-2025-157,2024-02-23,Final,100
158,74,EX-2025-158,2024-03-24,Quiz,100
159,77,EX-2025-159,2024-04-25,Practical,100
160,80,EX-2025-160,2024-05-26,Midterm,100
161,83,EX-2025-161,2024-06-27,Final,100
162,86,EX-2025-162,2024-07-01,Quiz,100
163,89,EX-2025-163,2024-08-02,Practical,100
164,92,EX-2025-164,2024-09-03,Midterm,100
165,95,EX-2025-165,2024-10-04,Final,100
166,98,EX-2025-166,2024-11-05,Quiz,100
167,1,EX-2025-167,2024-12-06,Practical,100
168,4,EX-2025-168,2024-01-07,Midterm,100
169,7,EX-2025-169,2024-02-08,Final,100
170,10,EX-2025-170,2024-03-09,Quiz,100
171,13,EX-2025-171,2024-04-10,Practical,100
172,16,EX-2025-172,2024-05-11,Midterm,100
173,19,EX-2025-173,2024-06-12,Final,100
174,22,EX-2025-174,2024-07-13,Quiz,100
175,25,EX-2025-175,2024-08-14,Practical,100
176,28,EX-2025-176,2024-09-15,Midterm,100
177,31,EX-2025-177,2024-10-16,Final,100
178,34,EX-2025-178,2024-11-17,Quiz,100
179,37,EX-2025-179,2024-12-18,Practical,100
180,40,EX-2025-180,2024-01-19,Midterm,100
181,43,EX-2025-181,2024-02-20,Final,100
182,46,EX-2025-182,2024-03-21,Quiz,100
183,49,EX-2025-183,2024-04-22,Practical,100
184,52,EX-2025-184,2024-05-23,Midterm,100
185,55,EX-2025-185,2024-06-24,Final,100
186,58,EX-2025-186,2024-07-25,Quiz,100
187,61,EX-2025-187,2024-08-26,Practical,100
188,64,EX-2025-188,2024-09-27,Midterm,100
189,67,EX-2025-189,2024-10-01,Final,100
190,70,EX-2025-190,2024-11-02,Quiz,100
191,73,EX-2025-191,2024-12-03,Practical,100
192,76,EX-2025-192,2024-01-04,Midterm,100
193,79,EX-2025-193,2024-02-05,Final,100
194,82,EX-2025-194,2024-03-06,Quiz,100
195,85,EX-2025-195,2024-04-07,Practical,100
196,88,EX-2025-196,2024-05-08,Midterm,100
197,91,EX-2025-197,2024-06-09,Final,100
198,94,EX-2025-198,2024-07-10,Quiz,100
199,97,EX-2025-199,2024-08-11,Practical,100
200,100,EX-2025-200,2024-09-12,Midterm,100
201,3,EX-2025-201,2024-10-13,Final,100
202,6,EX-2025-202,2024-11-14,Quiz,100
203,9,EX-2025-203,2024-12-15,Practical,100
204,12,EX-2025-204,2024-01-16,Midterm,100
205,15,EX-2025-205,2024-02-17,Final,100
206,18,EX-2025-206,2024-03-18,Quiz,100
207,21,EX-2025-207,2024-04-19,Practical,100
208,24,EX-2025-208,2024-05-20,Midterm,100
209,27,EX-2025-209,2024-06-21,Final,100
210,30,EX-2025-210,2024-07-22,Quiz,100
211,33,EX-2025-211,2024-08-23,Practical,100
212,36,EX-2025-212,2024-09-24,Midterm,100
213,39,EX-2025-213,2024-10-25,Final,100
214,42,EX-2025-214,2024-11-26,Quiz,100
215,45,EX-2025-215,2024-12-27,Practical,100
216,48,EX-2025-216,2024-01-01,Midterm,100
217,51,EX-2025-217,2024-02-02,Final,100
218,54,EX-2025-218,2024-03-03,Quiz,100
219,57,EX-2025-219,2024-04-04,Practical,100
220,60,EX-2025-220,2024-05-05,Midterm,100
221,63,EX-2025-221,2024-06-06,Final,100
222,66,EX-2025-222,2024-07-07,Quiz,100
223,69,EX-2025-223,2024-08-08,Practical,100
224,72,EX-2025-224,2024-09-09,Midterm,100
225,75,EX-2025-225,2024-10-10,Final,100
226,78,EX-2025-226,2024-11-11,Quiz,100
227,81,EX-2025-227,2024-12-12,Practical,100
228,84,EX-2025-228,2024-01-13,Midterm,100
229,87,EX-2025-229,2024-02-14,Final,100
230,90,EX-2025-230,2024-03-15,Quiz,100
231,93,EX-2025-231,2024-04-16,Practical,100
232,96,EX-2025-232,2024-05-17,Midterm,100
233,99,EX-2025-233,2024-06-18,Final,100
234,2,EX-2025-234,2024-07-19,Quiz,100
235,5,EX-2025-235,2024-08-20,Practical,100
236,8,EX-2025-236,2024-09-21,Midterm,100
237,11,EX-2025-237,2024-10-22,Final,100
238,14,EX-2025-238,2024-11-23,Quiz,100
239,17,EX-2025-239,2024-12-24,Practical,100
240,20,EX-2025-240,2024-01-25,Midterm,100
241,23,EX-2025-241,2024-02-26,Final,100
242,26,EX-2025-242,2024-03-27,Quiz,100
243,29,EX-2025-243,2024-04-01,Practical,100
244,32,EX-2025-244,2024-05-02,Midterm,100
245,35,EX-2025-245,2024-06-03,Final,100
246,38,EX-2025-246,2024-07-04,Quiz,100
247,41,EX-2025-247,2024-08-05,Practical,100
248,44,EX-2025-248,2024-09-06,Midterm,100
249,47,EX-2025-249,2024-10-07,Final,100
250,50,EX-2026-250,2024-11-08,Quiz,100
