Trip_ID,Date,From_Station_ID,To_Station_ID,Ticket_ID,Payment_ID,Passengers,Fare,Revenue
92,2025-01-23,BL10,BL12,3,1,1,60,60
93,2025-05-11,BL09,GL06,1,2,1,30,30
94,2025-01-11,GL01,BL09,2,1,6,60,360
95,2025-05-01,GL03,GL01,1,2,3,50,150
96,2025-06-06,BL11,GL05,1,2,3,40,120
97,2025-04-21,BL05,BL01,1,3,4,20,80
98,2025-06-01,BL13,GL06,1,2,3,20,60
99,2025-02-05,BL05,GL06,1,2,3,30,90
100,2025-05-12,BL09,BL03,2,3,5,60,300
101,2025-06-25,BL07,BL01,2,1,4,20,80
102,2025-04-14,GL01,GL05,3,1,5,30,150
103,2025-04-12,BL04,BL11,1,1,1,20,20
104,2025-06-12,GL02,BL06,2,3,3,10,30
105,2025-02-24,BL09,BL07,1,1,6,50,300
106,2025-02-14,BL13,BL01,2,1,4,50,200
107,2025-02-13,GL06,BL01,3,1,1,50,50
108,2025-02-16,BL09,BL02,3,2,4,40,160
109,2025-05-03,BL03,BL11,2,1,2,10,20
110,2025-05-23,BL01,BL06,1,1,1,50,50
111,2025-04-06,BL03,GL01,3,3,4,60,240
112,2025-03-13,BL02,BL11,2,1,5,30,150
113,2025-05-28,BL02,BL03,1,3,6,50,300
114,2025-01-07,BL13,GL03,2,3,2,20,40
115,2025-05-15,BL04,BL01,2,3,2,40,80
116,2025-03-01,BL12,BL08,1,1,4,60,240
117,2025-03-02,BL04,BL07,1,2,3,10,30
118,2025-01-16,BL12,BL10,1,3,5,50,250
119,2025-02-11,BL01,GL03,2,3,4,60,240
120,2025-04-25,BL02,GL03,2,3,6,30,180
121,2025-06-25,BL11,GL06,3,3,1,60,60
122,2025-01-21,GL01,BL10,3,1,1,30,30
123,2025-03-10,BL11,BL07,3,1,2,60,120
124,2025-03-06,BL03,BL07,3,3,3,30,90
125,2025-03-16,BL05,BL13,3,1,1,40,40
126,2025-02-19,BL05,BL04,2,1,3,10,30
127,2025-04-02,BL09,BL01,1,3,5,20,100
128,2025-02-17,BL04,BL03,2,1,6,40,240
129,2025-05-25,BL03,BL07,3,3,2,40,80
130,2025-03-21,GL01,BL09,3,1,2,60,120
131,2025-02-28,GL04,BL11,3,2,1,20,20
132,2025-02-10,BL08,GL03,2,2,6,10,60
133,2025-06-09,BL04,BL13,1,3,3,40,120
134,2025-01-14,BL06,BL12,3,2,6,20,120
135,2025-04-06,BL04,BL08,2,3,2,60,120
136,2025-06-08,GL06,BL06,1,2,4,40,160
137,2025-05-11,BL12,BL03,2,1,2,20,40
138,2025-04-30,GL05,BL13,2,2,2,30,60
139,2025-05-02,BL09,GL06,2,1,1,30,30
140,2025-02-16,GL02,BL01,1,1,4,40,160
141,2025-03-04,BL10,BL06,1,2,1,20,20
142,2025-02-18,BL04,GL01,2,2,6,20,120
143,2025-01-06,BL11,BL07,3,3,2,50,100
144,2025-01-04,BL13,BL12,1,3,3,40,120
145,2025-03-08,GL02,BL12,1,1,2,20,40
146,2025-03-18,BL13,GL01,1,3,2,30,60
147,2025-03-22,BL11,GL03,3,3,6,20,120
148,2025-02-18,BL01,BL08,1,1,4,60,240
149,2025-05-18,BL08,BL09,1,1,2,30,60
150,2025-03-23,BL04,BL11,2,3,1,30,30
151,2025-02-19,GL01,GL04,2,2,5,40,200
152,2025-02-19,BL13,BL08,3,3,2,20,40
153,2025-03-11,BL02,BL05,2,1,2,20,40
154,2025-01-07,BL03,BL07,3,2,6,50,300
155,2025-03-24,BL04,BL11,1,2,4,40,160
156,2025-06-05,GL05,BL10,1,2,4,20,80
157,2025-03-27,GL03,GL01,3,3,3,10,30
158,2025-03-04,BL13,BL04,2,3,2,10,20
159,2025-03-20,GL06,BL13,2,2,4,60,240
160,2025-04-10,BL03,BL11,3,1,1,40,40
161,2025-05-18,GL06,BL09,3,3,2,50,100
162,2025-01-01,BL10,GL03,2,1,5,60,300
163,2025-05-02,BL08,BL04,1,3,6,50,300
164,2025-01-25,BL02,GL06,3,2,2,20,40
165,2025-01-01,BL08,BL11,1,1,5,30,150
166,2025-06-29,BL01,BL05,2,1,1,10,10
167,2025-02-05,BL13,BL12,3,1,1,10,10
168,2025-05-20,BL08,GL02,1,1,1,60,60
169,2025-02-17,BL07,BL13,1,2,1,10,10
170,2025-04-12,BL11,BL05,3,1,3,20,60
171,2025-05-17,BL10,BL11,2,1,3,40,120
172,2025-03-02,BL01,BL08,2,2,3,40,120
173,2025-03-31,BL06,BL05,1,1,5,40,200
174,2025-05-10,GL02,GL05,1,2,5,10,50
175,2025-03-01,BL02,GL02,3,1,2,60,120
176,2025-06-13,BL11,BL01,1,3,4,20,80
177,2025-01-02,BL03,BL05,2,2,1,40,40
178,2025-02-25,BL13,GL01,1,1,1,20,20
179,2025-01-02,BL02,GL01,3,1,6,40,240
180,2025-01-08,BL01,BL10,1,1,1,30,30
181,2025-04-03,BL12,BL04,2,1,4,30,120
182,2025-04-08,BL07,BL12,2,2,5,30,150
183,2025-01-09,BL06,GL04,2,3,4,30,120
184,2025-06-24,GL06,GL01,1,1,5,30,150
185,2025-06-17,BL01,BL11,3,2,6,50,300
186,2025-05-29,BL03,BL01,1,3,3,10,30
187,2025-04-08,BL11,GL03,1,3,5,50,250
188,2025-01-18,GL06,BL05,1,3,3,20,60
189,2025-02-02,BL11,BL12,1,1,6,50,300
190,2025-05-28,BL13,GL06,3,1,1,30,30
191,2025-05-15,BL11,BL01,1,1,3,50,150
192,2025-06-19,BL10,GL02,1,1,5,50,250
193,2025-05-01,BL05,GL05,1,2,4,30,120
194,2025-01-23,GL02,BL01,2,2,1,30,30
195,2025-03-25,GL02,GL05,3,3,1,10,10
196,2025-02-13,GL01,GL06,1,2,4,60,240
197,2025-04-29,BL02,BL11,1,3,2,40,80
198,2025-02-02,BL02,BL01,3,3,3,30,90
199,2025-05-19,BL02,BL10,3,2,2,50,100
200,2025-03-14,BL09,GL02,2,2,4,40,160
201,2025-02-17,BL01,BL09,1,2,4,20,80
202,2025-03-10,GL01,BL05,3,1,6,40,240
203,2025-05-09,BL01,BL05,2,2,3,40,120
204,2025-04-02,GL01,BL02,2,2,4,20,80
205,2025-02-20,BL09,BL05,2,1,1,40,40
206,2025-06-23,BL05,BL04,3,1,4,10,40
207,2025-03-08,BL04,GL04,3,3,2,10,20
208,2025-03-29,BL01,BL04,1,2,6,50,300
209,2025-03-15,BL02,BL11,1,2,2,50,100
210,2025-02-26,BL03,BL12,2,3,1,20,20
211,2025-02-11,BL12,GL02,3,3,2,10,20
212,2025-05-11,GL02,BL07,2,1,5,50,250
213,2025-01-31,BL01,BL11,1,1,5,50,250
214,2025-01-16,BL03,BL07,2,1,4,30,120
215,2025-06-25,BL05,GL05,2,1,6,20,120
216,2025-05-23,GL05,BL05,2,1,3,60,180
217,2025-03-14,GL03,BL05,1,1,3,10,30
218,2025-03-07,BL02,BL10,2,2,6,10,60
219,2025-02-09,BL02,BL11,1,2,5,60,300
220,2025-05-03,BL09,BL13,3,1,6,20,120
221,2025-04-10,BL05,GL04,2,3,5,50,250
222,2025-03-26,GL06,BL11,2,2,3,50,150
223,2025-02-04,BL09,BL02,3,3,4,10,40
224,2025-02-19,BL07,BL08,2,2,3,60,180
225,2025-05-03,BL05,GL05,2,2,4,30,120
226,2025-02-01,BL11,GL01,1,1,3,60,180
227,2025-01-25,BL07,GL06,1,3,1,40,40
228,2025-03-11,BL07,BL01,3,3,4,40,160
229,2025-04-22,GL06,BL10,2,2,1,30,30
230,2025-06-24,GL01,BL01,1,1,4,60,240
231,2025-06-08,GL03,GL01,1,3,4,40,160
232,2025-02-23,BL07,BL08,2,3,1,40,40
233,2025-03-06,BL11,GL05,3,3,6,60,360
234,2025-06-08,BL13,BL11,1,3,5,60,300
235,2025-01-20,BL02,BL03,2,2,5,30,150
236,2025-04-07,GL05,BL02,3,3,4,10,40
237,2025-01-15,BL03,GL03,2,1,5,20,100
238,2025-02-17,BL08,BL09,2,2,4,40,160
239,2025-02-12,BL04,BL08,3,3,5,60,300
240,2025-03-02,BL02,GL04,1,3,5,30,150
241,2025-03-03,BL04,GL02,2,3,3,40,120
242,2025-01-31,BL13,BL09,3,2,5,40,200
243,2025-04-26,BL01,BL07,1,3,1,10,10
244,2025-05-01,GL04,BL08,1,3,1,50,50
245,2025-02-10,GL02,GL01,3,1,1,50,50
246,2025-01-13,BL11,BL05,3,2,2,10,20
247,2025-03-03,BL13,BL08,3,1,5,10,50
248,2025-06-08,BL07,BL11,1,1,2,60,120
249,2025-03-04,BL03,BL12,2,2,4,10,40
250,2025-05-25,BL10,BL01,3,2,3,30,90
251,2025-02-08,GL04,BL03,2,2,2,20,40
252,2025-03-05,GL02,GL03,1,2,1,50,50
253,2025-01-15,BL09,GL02,2,3,1,60,60
254,2025-01-04,BL04,BL07,3,1,4,20,80
255,2025-06-13,BL12,BL03,1,2,4,40,160
256,2025-04-21,GL06,BL12,1,3,4,60,240
257,2025-04-06,BL01,GL03,2,1,1,50,50
258,2025-06-14,GL06,BL03,2,3,2,10,20
259,2025-05-16,GL01,BL01,2,2,4,50,200
260,2025-04-29,BL13,BL02,3,3,4,40,160
261,2025-06-29,GL04,GL06,1,1,1,20,20
262,2025-05-31,BL06,BL13,3,2,1,60,60
263,2025-04-03,BL10,BL06,2,1,2,20,40
264,2025-04-17,BL08,GL02,1,3,6,10,60
265,2025-02-07,GL06,BL02,2,2,6,20,120
266,2025-04-05,GL02,BL02,3,3,5,10,50
267,2025-02-18,BL01,BL03,1,2,6,10,60
268,2025-06-18,GL05,BL12,2,1,4,40,160
269,2025-05-30,GL04,BL07,3,1,2,60,120
270,2025-02-21,BL10,GL02,3,3,2,40,80
271,2025-01-16,BL01,GL05,2,3,5,30,150
272,2025-05-10,GL04,BL04,3,1,3,40,120
273,2025-02-13,BL02,BL07,3,2,5,40,200
274,2025-01-07,BL13,BL12,3,1,5,20,100
275,2025-04-25,BL04,GL04,2,2,1,20,20
276,2025-02-19,BL08,BL06,1,2,4,10,40
277,2025-02-21,BL10,BL11,1,2,2,10,20
278,2025-04-25,BL07,BL12,2,2,6,20,120
279,2025-01-04,GL04,BL02,3,3,5,10,50
280,2025-04-14,GL01,BL05,2,3,5,60,300
281,2025-06-17,GL01,BL09,2,2,2,50,100
282,2025-06-18,BL05,BL09,2,2,1,20,20
283,2025-06-09,GL06,BL12,3,1,6,10,60
284,2025-03-30,BL06,BL13,3,3,2,60,120
285,2025-04-15,BL04,BL11,3,3,5,40,200
286,2025-01-31,BL03,BL04,2,1,5,10,50
287,2025-05-09,GL04,BL04,1,2,1,10,10
288,2025-02-27,BL05,BL02,2,1,1,40,40
289,2025-03-28,BL03,GL03,2,3,4,50,200
290,2025-01-20,GL04,GL05,2,3,3,40,120
291,2025-03-04,BL03,BL09,1,2,1,40,40
292,2025-06-25,BL01,BL11,1,3,2,50,100
293,2025-02-17,GL03,GL06,2,2,5,10,50
294,2025-05-19,BL04,BL13,1,1,2,60,120
295,2025-04-16,GL04,BL06,3,1,1,50,50
296,2025-01-09,BL03,BL10,2,3,4,20,80
297,2025-02-24,BL03,BL07,1,3,4,30,120
298,2025-02-13,BL04,BL05,3,2,6,60,360
299,2025-02-15,BL09,BL03,3,1,3,60,180
300,2025-02-03,BL10,BL04,3,2,6,30,180
301,2025-02-07,GL02,BL05,1,2,6,40,240
302,2025-04-19,GL03,GL05,3,1,6,40,240
303,2025-02-19,BL05,BL07,2,3,3,20,60
304,2025-02-18,BL12,BL01,3,1,2,20,40
305,2025-06-13,BL08,BL03,1,2,4,30,120
306,2025-01-12,BL02,BL13,3,2,5,60,300
307,2025-04-24,GL01,BL01,3,1,3,40,120
308,2025-05-06,GL04,BL05,3,2,5,60,300
309,2025-06-25,BL13,GL03,3,2,5,50,250
310,2025-01-17,GL04,BL01,1,1,2,10,20
311,2025-03-12,BL01,BL02,2,3,6,30,180
312,2025-02-08,BL03,BL08,3,2,5,20,100
313,2025-01-02,BL02,BL01,3,2,1,30,30
314,2025-03-18,BL06,BL03,2,3,3,10,30
315,2025-01-16,GL05,GL06,2,1,2,60,120
316,2025-04-13,GL04,GL02,1,2,2,20,40
317,2025-04-26,GL06,GL05,2,2,3,60,180
318,2025-04-17,BL11,BL03,1,1,2,50,100
319,2025-01-01,BL05,BL08,1,3,4,30,120
320,2025-05-08,BL04,GL03,2,1,4,40,160
321,2025-06-05,BL05,BL13,3,1,6,20,120
322,2025-05-27,BL05,GL03,3,2,3,50,150
323,2025-05-13,BL01,GL06,3,1,2,40,80
324,2025-05-03,GL02,BL04,3,3,3,20,60
325,2025-02-08,BL03,BL13,2,1,3,10,30
326,2025-06-27,GL02,GL05,1,1,1,60,60
327,2025-06-04,BL13,GL01,1,3,4,30,120
328,2025-03-21,BL11,BL12,3,2,4,40,160
329,2025-04-19,BL11,BL07,2,3,2,10,20
330,2025-01-26,GL04,BL04,3,3,4,30,120
331,2025-04-05,BL11,BL08,3,3,3,40,120
332,2025-05-10,BL13,GL05,2,3,4,50,200
333,2025-03-26,BL08,GL06,3,3,2,60,120
334,2025-03-04,BL11,BL01,2,3,6,40,240
335,2025-01-15,BL04,BL07,3,2,4,10,40
336,2025-01-04,GL01,BL10,2,3,5,10,50
337,2025-06-01,GL05,BL07,2,3,1,40,40
338,2025-05-29,BL05,BL02,1,2,2,30,60
339,2025-03-29,GL03,BL08,3,2,6,20,120
340,2025-05-21,GL01,BL07,3,1,3,30,90
341,2025-06-02,BL02,GL02,1,2,6,20,120
342,2025-01-07,BL07,GL04,1,2,4,10,40
343,2025-06-26,GL05,BL10,1,2,6,10,60
344,2025-03-12,BL03,GL04,2,3,3,30,90
345,2025-02-13,BL13,BL02,1,3,5,10,50
346,2025-05-04,BL04,BL12,2,3,4,50,200
347,2025-03-28,GL01,BL11,2,1,1,50,50
348,2025-03-02,GL03,BL08,3,3,2,10,20
349,2025-01-19,BL12,GL05,1,1,1,40,40
350,2025-02-23,GL01,BL01,3,1,4,40,160
351,2025-01-22,BL04,GL03,1,1,1,10,10
352,2025-04-03,BL06,GL04,3,2,6,20,120
353,2025-06-11,BL07,GL05,3,2,5,30,150
354,2025-06-28,GL06,BL02,3,1,1,60,60
355,2025-02-17,BL05,GL03,2,1,3,50,150
356,2025-06-11,GL01,BL12,2,3,6,10,60
357,2025-03-19,BL13,BL06,2,2,6,60,360
358,2025-06-01,BL10,BL05,3,3,4,30,120
359,2025-04-28,GL03,GL06,2,2,1,40,40
360,2025-01-30,BL04,GL05,1,3,2,40,80
361,2025-03-02,BL02,GL04,2,2,3,40,120
362,2025-05-29,GL03,BL03,3,1,1,10,10
363,2025-01-22,BL07,BL08,1,3,5,10,50
364,2025-04-22,BL11,BL04,3,2,3,40,120
365,2025-01-21,GL01,GL05,2,1,3,20,60
366,2025-01-25,BL10,BL08,2,1,1,40,40
367,2025-05-24,BL12,BL05,3,3,6,20,120
368,2025-04-21,GL01,BL12,2,2,5,40,200
369,2025-03-23,BL09,GL02,1,1,1,10,10
370,2025-05-28,BL08,GL02,3,3,2,20,40
371,2025-06-27,GL03,BL07,3,1,5,50,250
372,2025-06-02,GL03,BL07,3,2,5,30,150
373,2025-06-21,BL04,BL06,1,2,3,10,30
374,2025-05-10,BL09,BL04,2,3,1,30,30
375,2025-01-16,GL02,BL06,2,1,6,30,180
376,2025-04-16,BL06,GL02,3,1,3,10,30
377,2025-03-19,BL13,BL01,1,1,6,10,60
378,2025-05-13,BL02,GL01,2,1,3,40,120
379,2025-01-23,BL03,GL02,3,2,6,60,360
380,2025-05-27,BL03,BL06,2,3,3,60,180
381,2025-06-09,GL02,BL02,1,2,5,40,200
382,2025-05-09,BL08,BL04,3,3,2,60,120
383,2025-04-02,BL09,BL13,1,2,5,50,250
384,2025-01-06,BL12,BL08,1,2,4,10,40
385,2025-04-04,BL09,BL07,2,3,1,40,40
386,2025-04-23,GL03,GL01,3,3,6,60,360
387,2025-04-21,BL04,BL10,3,1,4,20,80
388,2025-04-29,GL04,BL03,3,3,4,30,120
389,2025-01-06,BL03,GL02,3,2,6,40,240
390,2025-03-10,BL10,BL05,3,2,4,30,120
391,2025-04-16,BL08,BL07,1,1,2,60,120
392,2025-02-01,BL13,BL09,1,3,5,60,300
393,2025-06-03,BL02,BL11,2,2,2,60,120
394,2025-05-14,GL01,GL02,3,3,1,60,60
395,2025-03-13,BL06,BL05,3,2,3,40,120
396,2025-03-13,BL07,BL11,2,1,4,10,40
397,2025-04-08,GL02,BL10,2,1,1,50,50
398,2025-05-13,GL03,BL06,1,2,4,10,40
399,2025-03-31,BL13,BL07,3,2,5,20,100
400,2025-02-25,BL03,BL13,1,3,5,10,50
401,2025-03-01,GL05,BL08,1,2,4,30,120
402,2025-03-07,BL13,BL01,2,2,2,50,100
403,2025-05-09,GL03,BL03,2,3,1,50,50
404,2025-05-27,BL08,BL07,2,1,3,30,90
405,2025-06-14,GL02,BL13,1,2,1,10,10
406,2025-03-09,BL11,GL06,3,3,6,30,180
407,2025-05-10,BL01,GL06,2,3,6,40,240
408,2025-02-28,GL01,GL02,1,2,2,40,80
409,2025-03-16,GL02,BL12,1,1,3,60,180
410,2025-04-20,BL02,BL08,1,2,2,30,60
411,2025-04-06,GL05,BL03,1,1,4,10,40
412,2025-02-25,BL13,BL12,3,1,5,30,150
413,2025-06-12,GL03,BL08,2,3,3,40,120
414,2025-02-01,BL12,BL02,3,1,3,60,180
415,2025-04-05,BL08,BL07,3,3,1,30,30
416,2025-01-26,BL05,GL04,1,1,3,10,30
417,2025-03-15,BL07,GL03,1,2,5,50,250
418,2025-02-27,BL06,GL04,1,3,1,20,20
419,2025-05-31,BL08,BL13,1,3,3,20,60
420,2025-02-20,GL04,BL04,3,1,3,40,120
421,2025-04-02,BL02,BL06,2,2,6,60,360
422,2025-01-21,BL05,BL09,2,2,4,20,80
423,2025-04-21,BL01,GL04,3,1,3,40,120
424,2025-05-09,BL08,BL12,3,2,5,40,200
425,2025-03-18,GL03,BL03,1,3,5,10,50
426,2025-01-08,BL01,BL02,3,2,3,60,180
427,2025-06-01,BL02,BL05,3,1,3,50,150
428,2025-06-22,BL07,BL10,1,2,3,60,180
429,2025-04-12,GL03,BL08,3,2,6,30,180
430,2025-01-20,GL01,GL04,1,2,6,10,60
431,2025-05-30,BL03,GL05,2,1,3,20,60
432,2025-01-05,BL05,BL12,2,2,2,50,100
433,2025-01-09,BL11,GL06,3,2,2,50,100
434,2025-03-18,BL10,BL12,3,2,2,10,20
435,2025-06-13,BL05,GL04,3,2,5,30,150
436,2025-06-13,BL05,BL06,3,1,3,30,90
437,2025-01-23,BL04,BL05,1,2,5,20,100
438,2025-04-12,BL03,BL06,2,1,5,30,150
439,2025-01-30,BL06,BL05,1,3,1,50,50
440,2025-03-27,GL05,BL08,1,3,3,50,150
441,2025-01-24,BL02,GL04,3,1,1,50,50
442,2025-05-29,BL09,BL05,2,3,5,60,300
443,2025-04-27,GL03,GL06,3,1,5,60,300
444,2025-04-03,BL01,GL04,1,3,1,60,60
445,2025-05-23,BL13,GL03,3,1,5,40,200
446,2025-03-02,BL10,BL07,2,3,5,50,250
447,2025-02-02,GL06,BL05,1,1,2,40,80
448,2025-06-19,BL01,BL06,3,1,2,10,20
449,2025-01-13,BL04,BL13,1,2,4,20,80
450,2025-04-01,BL06,GL03,3,1,1,10,10
451,2025-01-23,BL03,BL06,1,2,4,30,120
452,2025-04-01,GL04,BL10,2,2,6,10,60
453,2025-04-22,BL05,BL09,2,1,4,30,120
454,2025-05-06,GL04,GL06,2,1,4,60,240
455,2025-06-08,GL01,BL06,2,2,2,40,80
456,2025-01-31,BL09,BL13,3,1,1,40,40
457,2025-05-21,GL01,BL13,1,2,2,40,80
458,2025-01-20,GL06,BL02,3,2,4,10,40
459,2025-04-09,BL10,BL06,3,2,1,10,10
460,2025-03-28,GL05,BL10,3,1,2,10,20
461,2025-05-07,GL06,BL11,3,1,1,10,10
462,2025-01-13,BL04,GL05,2,2,1,60,60
463,2025-02-23,BL11,BL09,2,2,3,30,90
464,2025-03-29,BL03,GL03,3,3,4,40,160
465,2025-03-11,BL04,GL04,3,2,2,10,20
466,2025-06-21,BL02,BL09,1,1,5,30,150
467,2025-06-24,BL02,GL05,3,1,5,50,250
468,2025-06-24,BL07,BL13,1,1,2,10,20
469,2025-05-22,GL03,BL05,1,1,3,30,90
470,2025-02-16,GL01,BL09,1,2,2,50,100
471,2025-01-28,BL06,BL02,2,1,4,30,120
472,2025-01-19,BL10,BL07,3,3,4,60,240
473,2025-05-11,BL04,BL07,3,1,4,50,200
474,2025-01-26,GL06,BL07,1,3,5,50,250
475,2025-04-24,GL03,BL12,1,2,5,60,300
476,2025-04-10,BL04,BL08,1,1,3,60,180
477,2025-06-06,BL08,GL04,1,2,5,50,250
478,2025-02-25,BL03,BL09,3,3,6,40,240
479,2025-03-17,BL13,GL05,2,3,1,60,60
480,2025-06-19,BL06,BL13,2,2,2,50,100
481,2025-06-24,BL08,GL04,2,3,6,50,300
482,2025-02-08,BL05,GL04,3,2,1,30,30
483,2025-05-03,BL12,BL13,2,3,3,10,30
484,2025-03-19,BL06,BL10,1,3,1,10,10
485,2025-02-21,GL02,GL05,2,1,5,30,150
486,2025-04-25,GL03,BL08,2,3,5,10,50
487,2025-04-23,BL03,BL10,2,1,6,40,240
488,2025-06-20,GL05,GL04,2,2,2,10,20
489,2025-03-27,BL01,BL02,2,3,1,50,50
490,2025-06-16,BL08,BL05,2,2,6,40,240
491,2025-01-16,GL04,GL02,1,1,3,30,90
492,2025-03-27,GL04,BL04,1,2,1,30,30
493,2025-02-15,BL08,GL04,3,3,5,10,50
494,2025-03-02,BL07,GL02,1,3,2,40,80
495,2025-06-05,BL07,BL08,1,3,1,50,50
496,2025-01-13,GL06,GL03,3,1,5,40,200
497,2025-06-15,BL05,BL06,1,1,2,20,40
498,2025-04-02,BL06,BL03,3,1,2,30,60
499,2025-05-27,BL13,GL06,1,1,5,30,150
500,2025-03-05,GL04,BL03,3,2,4,40,160
501,2025-01-06,BL01,GL01,3,1,2,60,120
502,2025-02-21,BL11,BL13,1,2,6,30,180
503,2025-04-24,BL07,BL11,3,3,1,60,60
504,2025-05-21,GL05,BL02,2,1,6,50,300
505,2025-02-02,BL11,BL13,1,1,5,40,200
506,2025-02-16,BL04,BL11,3,2,1,30,30
507,2025-06-10,BL09,GL04,1,3,5,30,150
508,2025-03-19,BL03,BL12,2,2,3,50,150
509,2025-02-12,BL08,BL01,1,2,1,20,20
510,2025-03-13,BL07,BL13,2,1,5,40,200
511,2025-02-12,BL01,GL04,1,3,3,20,60
512,2025-02-09,BL11,BL02,2,2,2,60,120
513,2025-06-05,BL12,GL02,3,2,5,50,250
514,2025-05-07,BL07,BL10,2,1,4,60,240
